Hanzi,Pinyin,Meaning
一,yī,det.: one
在,zài,"in, at, on, etc."
有,yǒu,"have, possess"
個,gè,"piece, item"
我,wǒ,"I, me, ego, self"
不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix"
這,zhè,"now, this, det.: this, it*"
他,tā,"he, she, it, they (referring to inanimate things in object position)"
也,yě,"also, too, as well, either, even"
就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation"
人,rén,"person, people"
都,dōu,"all, even, already"
說,shuō,"speak, talk, explain, scold"
而,ér,conj.: and yet
們,men,plural marker for personal pronouns or for nouns referring to people
你,nǐ,you
了,le,particle: indicating new situation or completed action
要,yào,"want, need, must, should"
會,huì,"to be able, can, will, to meet"
對,duì,"correct, true, toward"
及,jí,"to reach, to catch up, and"
和,hé,"and, with, gentle, peaceful"
與,yǔ,"and, together with, to give"
以,yǐ,"using, taking, from a point on, because of"
很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
種,zhǒng,m.[kind]
的,de,particle: emphasizing an action/situation
大,dà,"great, macro, old, very, vast, tall, big, high, much"
能,néng,can or to be capable of
著,zhe,[aspect]
她,tā,"she, her, she (neologism for {1ta1}[2]), )"
那,nà,det.: that
上,shàng,"on, above"
但,dàn,"conj.: but, yet, still, nevertheless, only, merely"
年,nián,year
還,hái,"still, yet, also, too, as well, besides"
可以,kěyǐ,"can, may"
最,zuì,"most, to the highest degree, much, superlatively"
自己,zìjǐ,"lonesome, number_one, own, ego, self, oneself, name"
為,wéi,by
來,lái,"come, arrive"
所,suǒ,that which
他們,tāmen,they
兩,liǎng,"det.: two, both (sides), either (side), a few, some"
各,gè,"det.: each, every"
可,kě,"can, may"
為,wéi,"be, become"
或,huò,"conj.: or, either or"
好,hǎo,good
等,děng,"conj.: and so on, etc"
又,yòu,"again, moreover"
將,jiāng,be about to
因為,yīnwèi,"conj.: because, for, on account of"
於,yú,"in, at, to, from, out of, by"
由,yóu,"from, via, by, through, owing/due to"
從,cóng,"from, since, through"
更,gèng,"more, still/even more, further, furthermore"
被,bèi,by
才,cái,"then and only then, just now, only (before a number)"
已,yǐ,already
者,zhě,"nominal suffix, one who, -er"
每,měi,det.: every
次,cì,"order, sequence, next"
把,bǎ,indicating pre-verbal object as thing dealt with by the action
三,sān,det.: three
什麼,shénme,"anything, what"
問題,wèntí,"problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang-up, business, quaere"
其,qí,"det.: its, his, her, their, it, this, that"
讓,ràng,"allow, induce sb. to do sth."
此,cǐ,"this, det.: this, here"
做,zuò,"make, do"
再,zài,"again, once more, further(more), in a higher degree, and then, not (do sth.) before"
所以,suǒyǐ,"conj.: so, therefore, as a result"
只,zhǐ,"only, merely"
則,zé,"then, in that case"
台灣,Táiwān,Taiwan
卻,què,"however, but, yet, indeed"
並,bìng,"to be side by side, simultaneously, and"
位,wèi,"location, digit, m.[general], , status, figure, throne, position, place, condition"
想,xiǎng,"think, suppose, reckon, consider, want to, would like to, feel like (doing sth.)"
去,qù,"to go, to leave, in order to"
呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation
學生,xuéshēng,"academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student"
表示,biǎoshì,"demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken"
到,dào,up until
公司,gōngsī,"place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation"
將,jiāng,introducing object of main verb
如果,rúguǒ,conj.: if
社會,shèhuì,"community, society, monde, social, public"
看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit"
小,xiǎo,"small, little, petty, minor;young"
天,tiān,"sky, heaven"
因此,yīncǐ,"conj.: therefore, consequently"
新,xīn,"new, fresh, up-to-date"
但是,dànshì,"conj.: but, however, yet, still"
它,tā,"they (neologism for {1ta1}[3] [4]), [4]), ), this, that, it"
中,zhōng,"center, middle, interior"
使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro"
工作,gōngzuò,"work, job"
全,quán,"det.: all, Surname, whole, Quan"
覺得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive"
使用,shǐyòng,"use, employ, apply"
這些,zhèxiē,det.: these
裡,lǐ,inside
並,bìng,"actually, truly"
由於,yóuyú,conj.: owing/due/thanks to
時候,shíhòu,"day, moment, (a point in) time, (duration of) time, time"
知道,zhīdào,"tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize"
這樣,zhèyàng,"so, such, like this, this way"
一,yī,as soon as
認為,rènwéi,"find, treat, deem, suppose, look_on, repute, discount, esteem, accredit, feel, account, calculate, estimate, take to be, reckon, expect, think, hold, trust, recognise, opine, sound off, adjudge, consideration, consider, regard as, look upon, believe_in, disbelieve, allow, conceive, regard, call, imagine, view, forecast, believe, suspect, rate, animadvert, look on, listen, speak up, figure, c"
時間,shíjiān,"moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy"
事,shì,"responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter"
過,guò,[aspect]
向,xiàng,"to, towards"
可能,kěnéng,"probably, maybe"
中國,Zhōngguó,"Cathay, China, china"
美國,Měiguó,"House_of_Representatives, the United States of America, US, U.S.A., bench, Columbia, Yankeeland, U.S., United States, Democrat, Yankeedom, USA, America, United States of America"
到,dào,"arrive, reach, go to"
和,hé,together) with
幾,jǐ,"det.: how many, a few, several, some"
系統,xìtǒng,"lineage, filiation, scheme, pedigree, system, formation, superstructure, programme, organization, succession, tract, system of rules, organisation, program"
政府,zhèngfǔ,"sirkar, state, country, nation, governmental, body politic, government, administration, civil order, polity, commonwealth, regime, res publica, land"
大家,dàjiā,"sundry, great master, rich and influential family, pontiff, all of us, everyone, authority, master, distinguished family"
國家,guójiā,"sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica"
許多,xǔduō,"lot, scores, lots, sight, pot, heap, quantity, plenty, slews, ton, battalion, many, scads, tidy sum, power, spate, chunk, pile, crowd, vastness, batch, lashings, whole lot, mint, mound, pocketful, large number, trunkful, ream, mickle, great deal, flock, mass, slew, heaps, a lot of, piles, whole slew, mess, raff, slue, gobs, much, lotta, multitude, volume, wad, store, raft, tons, satiety, rafts, doze"
生活,shēnghuó,"life, existence, livelihood"
跟,gēn,"with, to, from"
已經,yǐjīng,already
大學,dàxué,"university, college"
研究,yánjiù,"study, research"
因,yīn,"conj.: because, as"
本,běn,det.: this
二,èr,"det.: two, second"
活動,huódòng,"activity, maneuver, behavior"
該,gāi,"det.: this, that"
世界,shìjiè,"mundane, creation, world, monde, orb, nature, domain"
應,yīng,"should, ought to"
四,sì,det.: four
希望,xīwàng,"hope, wish"
方式,fāngshì,"path, plan, pattern, tenor, system, method, manner, style, way, guise, fashion, wise, means, shape, how, embodiment, agency, gate, mode, sort"
內,nèi,inside
項,xiàng,m.[general]
啊,ā,particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation
下,xià,under (condition/fact etc.)
環境,huánjìng,"circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience"
一些,yīxiē,"det.: some, a few, a little"
必須,bìxū,must
文化,wénhuà,"civilization, literacy, acculturation, Kultur, vandalism, cultural, education, schooling, culture"
高,gāo,"tall, high"
孩子,háizi,"kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son"
沒有,méiyǒu,"not have, there is not, be without"
不能,bùnéng,"must/may/can not, not be allowed"
如,rú,"according to, in accordance with, such as, as if, like, for example"
開始,kāishǐ,"begin, start"
元,yuán,m.[standard]
不同,bùtóng,different
仍,réng,"yet, anyway, still"
網路,wǎnglù,"WWW, net, network, Internet, meshwork, web, world wide web, mesh, reticulation"
日本,rìběn,"Nippon, Cipango, Nihon, Japan, japan, Japanese"
用,yòng,with
中心,zhōngxīn,"center, heart, hub"
來,lái,"come, arrive"
對,duì,right; correct
雖然,suīrán,"conj.: though, although"
重要,zhòngyào,"important, significant, major"
地方,dìfāng,"country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local"
進行,jìnxíng,"be in progress, go on, carry on/out"
關係,guānxì,"relation, bearing, impact, membership credentials, ""backdoor connections"""
市場,shìchǎng,"bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market"
太,tài,"excessively, too, extremely, very"
老師,lǎoshī,"rabbi, professor, swami, instructor, teacher, mast"
提供,tígōng,"feed, offer, put_up, afford, proffer, set_up, capitalize, bring_forward, sponsor, extend, ply, provision, sustain, equip, supply, cough_up, bear, render, furnish, cater, billet, provide"
學校,xuéxiào,"seminary, schoolhouse, educational institution, school, institution"
應該,yīnggāi,"should, ought to"
指出,zhǐchū,"point, point_out, catch_out, bespeak, indicate, denote, point out (that), note, show, designate, point out"
經濟,jīngjì,"economy, financial condition, income"
其他,qítā,"det.: others, the rest, other, else"
家,jiā,"family, household, home, house"
發展,fāzhǎn,"develop, expand, grow"
教育,jiàoyū,education
成為,chéngwéi,"find, join, comprise, turn to, commemorate, sample, entomb, come_up, commence, get hold, learn, add up, necessitate, run, make up, constitute, make, form, come, amount, represent, fall, presage, change, be, turn, turn into, become, line up, come up, shape, portend, foretell, get"
多,duō,"many, much, more, more than the correct/required number, excessive, too much, much/far more"
非常,fēicháng,"extraordinary, unusual, special, very, extremely, highly"
便,biàn,"as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case"
方面,fāngmiàn,"side, aspect, sector, part, light, facet, behalf, way, respect, direction, bearing, field, phase, sphere, angle, hand"
吃,chī,"feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up"
然後,ránhòu,"therewith, and so, and_then, and then, thereupon, after that, so, then, with that"
未,wèi,"or not (at end of sentence), have not yet, or not, not"
發現,fāxiàn,"find, discover"
電腦,diànnǎo,"electronic computer, computery, data processor, information processing system, computer"
一樣,yīyàng,"same, equal, similar"
而且,érqiě,"conj.: furthermore, and"
心,xīn,"heart, mind, feeling, center, core"
不過,búguò,"conj.: but, however, only"
無法,wúfǎ,"nohow, unable to, unable, cannot"
企業,qǐyè,"proposition, business enterprise, business organization, business concern, concern, commercial enterprise, endeavour, endeavor, industry, business, project, corporation, enterprise"
正,zhèng,"precisely, punctually"
服務,fúwù,"be in the service of, serve"
較,jiào,"rather, quite, relatively, more"
不會,búhuì,won't
臺灣,táiwān,Taiwan
曾,céng,"once, ever, before"
嗎,mā,particle: calling for agreement or disagreement
空間,kōngjiān,"elbow room, allowance, margin, roomage, open air/sky/space, road, leeway, way, open air, sheets, room, tolerance, opening, clear, sky, spacial, interspace, vacuity, spatial, dimension, open sky/space, space, place, vacuum"
看到,kàndào,"view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of"
五,wǔ,det.: five
如何,rúhé,how
國內,guónèi,"interior (of country), interior, home, intestine, internal, domestic"
們,men,pluralizer after pronouns and nouns of persons
無,wú,"not have, there is not"
對於,duìyú,"in regard) to, toward, at, for"
以及,yǐjí,"conj.: as well as, along with, and"
之後,zhīhòu,"later, behind, at the back of, after"
可是,kěshì,"conj.: but, yet, however"
當,dāng,"when, while"
人員,rényuán,"strength, personnel, force, staff"
比,bǐ,compared with
先,xiān,"earlier, in advance, before"
產品,chǎnpǐn,"baby, brand, output, product, produce, end product, merchandise, fruitage, growth, manufacture, wares, production"
資訊,zīxùn,"stuff, message, information, news, info"
資料,zīliào,"food, source, info, means, data, information, material, datum, data point, matter"
比較,bǐjiào,"relatively, fairly"
先生,xiānshēng,"doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune-teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m'sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen"
地,dì,"the earth, land, soil, fields, ground, place, position, background, distance"
除了,chúle,"except, besides"
大陸,dàlù,Ch. mainland
需要,xūyào,"need, want, require, demand"
像,xiàng,be like
在,zài,indicating an action in progress
給,gěi,"give, give to"
歲,suì,"year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops"
請,qǐng,"request, ask (a favor), engage, hire (teacher/etc.), Please..."
月,yuè,moon
些,xiē,m.[proximation]
名,míng,m.[general]
另,lìng,det.: another
若,ruò,"conj.: if, as if"
亦,yì,"also, too"
地區,dìqū,"section, country, area, latitude, zone, terrain, parts, locality, sector, province, prefecture, region, district, faubourg"
技術,jìshù,"mechanics, know-how, prowess, science, Minerva, superior skill, art, competence, technology, craft, craftsmanship, skill, education, technique, artistry, engineering, technological, equipment, technical"
至,zhì,"to, until, till"
特別,tèbié,"unusual, specially"
其實,qíshí,"as a matter of fact, actually, in fact"
國際,guójì,international
不要,búyào,"never, noway, don't want, don't (do sth.)"
發生,fāshēng,"happen, occur, take place"
參加,cānjiā,"join, attend, take part in, give (advice/etc.)"
一定,yīdìng,must
其中,qízhōng,"among, of them, in it, among them, which, them, det.: it, in, in which"
問,wèn,"ask, examine, question, interrogate"
台北,táiběi,"capital of Nationalist China, capital of Republic of China on Taiwan, Taipei"
包括,bāokuò,"consist_of, consist of, subtend, embrace, comprise, incorporate, embody, involve, count, subsume, take_in, comprehend, incorporation, include, comprize, run, cover, package, consist in"
講,jiǎng,"discourse, utter, talk, negotiation, make clear, negotiate, parley, pay attention to, speak, syllable, discuss, explain, tell, be particular about, explanation, interpretation, interpret, relate, discussion, stress, mouth, say, remark, verbalize"
造成,zàochéng,"make_for, give rise to, create, set_up, strike, creation, cause, contribute, bring_about, procure, give, bring about, cut_out, necessitate, shape, present, bring_forth, generate, yield, make, breed"
看,kàn,"think, consider"
像,xiàng,"be like, resemble"
常,cháng,"often, usually, frequently"
即,jí,"at present, in the immediate future, then, promptly, at once"
喜歡,xǐhuān,"like, love, be fond of, be happy/elated"
去,qù,"go, go to"
沒,méi,not
出現,chūxiàn,"appear, arise, emerge"
政治,zhèngzhì,"paternalism, trouble, government, policy, political relation, political science, polity, politics, political affairs, political"
話,huà,"words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word"
走,zǒu,"scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get_along, come_along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move"
單位,dānwèi,"department, unit, denomination, module, building block, unit of measurement, monad, unit (in measurement or organization)"
一直,yīzhí,"e'er, away, continuously, all the way, right, forever, all_along, always, the whole way, all along, straight, slap, through, ever, evermore"
吧,ba,particle: used to show mild imperative or uncertainty
是否,shìfǒu,"whether or not, is it so or not"
當然,dāngrán,"certainly, of course"
整,zhěng,det.: exact
處理,chǔlǐ,"handle, deal with, dispose of, process"
歷史,lìshǐ,"past records, historical, history"
了解,liǎojiě,"understand, comprehend, find out, acquaint oneself with"
那,nà,"then, in that case"
怎麼,zěnme,how
機會,jīhuì,"scouth, occasion, good luck, hap, liberty, fortune, opportunity, chance, joss, hazard, happy chance, probability, luck, scope, room, break, turn, opening"
家,jiā,m.[general]
聽,tīng,"hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark"
所有,suǒyǒu,det.: all
只要,zhǐyào,"conj.: so long as, provided"
朋友,péngyou,"amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company"
令,lìng,"make, cause"
甚至,shènzhì,"even (to the point of), so much so that"
用,yòng,"use, employ, apply, eat, drink, spend"
真,zhēn,"really, truly, indeed, clearly"
六,liù,det.: six
呀,ya,"particle: replacing 啊 when preceding word ends in a, e, i, o, or (y)u; used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation"
情況,qíngkuàng,"event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration"
還是,háishì,"still, nevertheless"
錢,qián,"copper coin, cash, money, fund, sum"
方法,fāngfǎ,"know-how, plan, attack, system, stepping-stone, manner, method, gateway, idea, measure, way, guise, key, wise, quomodo, plan of attack, tack, machinery, process, avenue, modus, how, means, channel, gate, approach, agency, gamesmanship, mode, medium, sort"
點,diǎn,m.[proximation]
任何,rènhé,"aught, det.: any"
經驗,jīngyàn,experience
藝術,yìshù,"beaux-arts, aesthetical, artistic production, artistic, ars, art, academy, aesthetic, artistic creation, skill, craft, artistry, esthetic"
你們,nǐmen,"you, you (plural), you-all"
十,shí,det.: ten
主要,zhǔyào,"main, chief, principal, major"
媽媽,māmā,"mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma"
增加,zēngjiā,"increase, raise, add"
提出,tíchū,"put forward, pose, raise"
為什麼,wèishénme,"why, why?, how come, why is it that?, whereat, whereto"
以,yǐ,"conj.: in order to, so as to"
您,nín,you
計畫,jìhuà,"plan, project, program"
作,zuò,"do, make, rise, write, compose, pretend, affect, feign"
利用,lìyòng,"use, utilize, take advantage of, exploit"
東西,dōngxī,"thing, creature"
在,zài,"exist, live, be at/in/on, depend on, rest with"
條,tiáo,"bar, item, short note, a long narrow piece, streak, clause, stripe, sth. long and narrow, filet, m.[general], , article, strip, assize, twig, ingot, slip"
設計,shèjì,"design, plan"
找,zhǎo,"look for, seek, call on, approach"
之間,zhījiān,"among, between"
成長,chéngzhǎng,"grow up, mature"
能夠,nénggòu,"can, able, would, may"
決定,juédìng,"decide, resolve, make up one's mind, determine"
學習,xuéxí,"study, learn, emulate"
誰,shéi,"who, someone, anyone"
見,jiàn,"see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet"
半,bàn,det.: half
時代,shídài,"day, period, a period in one's life, epoch, present time, historical period, time, chapter, period in one's life, modern times, historic period, contemporary world, times, era, modern world, age"
完成,wánchéng,"fill in, finish out, fulfil, practice, complete, finish, encompass, clear_up, top_off, cleave, top off, accomplishment, make out, effect, perfective, fulfill, go through, exercise, discharge, fill out, completion, end, run, bring ... to fruition, round_out, achieve, execute, round out, make, cap off, accomplish, practise, follow through, come, finalize, fulfilment, dispatch, bring ..."
帶,dài,"look after, raise"
相當,xiāngdāng,"quite, fairly, considerably"
同學,tóngxué,"class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student"
件,jiàn,"correspondence, paper, document, bit, m.[general], , single item, letter, piece"
能力,nénglì,"department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power"
別人,biérén,"others, other people, another person"
生命,shēngmìng,"breath, god, head, anima, days, organism, blood, life, living thing, skin, longevity, being, vital, life form"
下,xià,"below, under, underneath"
來,lái,time (since)
場,cháng,m.[event]
會議,huìyì,"synod, moot, conference, board, convocation, soviet, congress, talks, indaba, negotiation, junta, group discussion, convention, meeting place, session, council, rendezvous, colloquy, coming together, powwow, seance, meeting, forum, consultation, roll-up, get-together, assembly"
容易,róngyì,easy
開發,kāifā,"develop, open up, exploit"
民眾,mínzhòng,"civil, crowd, masses, populace, rank_and_file, the masses, the masses of the people, the populace, demos, mob, multitude, plebs, commons, the common people, the people, million, public"
事情,shìqíng,"proposition, pie, shebang, thing, affair, occasions, undertaking, concern, question, business, schmear, matter"
書,shū,"volume, document, style of calligraphy, book, script, letter"
事實,shìshí,"mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact"
有關,yǒuguān,be related
自,zì,"from, since"
